rank	slug	city	region	district_style	art_kit	landmark	architecture_signature	novel_gameplay_detail	all_city_layers
371	bangkok_th	Bangkok	Southeast Asia Delta Route	Southeast Asia Delta Route mirror-code archive	Monsoon Port	Bangkok Relay Bridge	Monsoon Port with mirrored plaza around Bangkok Relay Bridge, signature 371	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
372	seoul_kr	Seoul	East Asia Megacity Belt	East Asia Megacity Belt sorted supply-cache vault	Neon Megacity	Seoul Power Crown	Neon Megacity with halved search vault around Seoul Power Crown, signature 372	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
373	nagoya_jp	Nagoya	East Asia Megacity Belt	East Asia Megacity Belt evacuation chain depot	Neon Megacity	Nagoya Signal Spire	Neon Megacity with linked evacuation posts around Nagoya Signal Spire, signature 373	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
374	hyderabad_in	Hyderabad	Midwest Grid	Midwest Grid sorted supply-cache vault	Monsoon Megacity	Hyderabad Rescue Arch	Monsoon Megacity with halved search vault around Hyderabad Rescue Arch, signature 374	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
375	london_gb	London	European Historic Core	European Historic Core triage routing depot	Historic Core	London Data Beacon	Historic Core with triage conveyor lanes around London Data Beacon, signature 375	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
376	tehran_ir	Tehran	Middle East Solar Route	Middle East Solar Route drone beacon yard	Middle East Solar Hub	Tehran Command Obelisk	Middle East Solar Hub with timed beacon pylons around Tehran Command Obelisk, signature 376	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
377	chengdu_cn	Chengdu	East Asia Megacity Belt	East Asia Megacity Belt mirror-code archive	Neon Megacity	Chengdu Relay Bridge	Neon Megacity with mirrored plaza around Chengdu Relay Bridge, signature 377	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
378	nanjing_cn	Nanjing	East Asia Megacity Belt	East Asia Megacity Belt sorted supply-cache vault	Neon Megacity	Nanjing Power Crown	Neon Megacity with halved search vault around Nanjing Power Crown, signature 378	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
379	wuhan_cn	Wuhan	East Asia Megacity Belt	East Asia Megacity Belt evacuation chain depot	Neon Megacity	Wuhan Signal Spire	Neon Megacity with linked evacuation posts around Wuhan Signal Spire, signature 379	Evacuation chain 3: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
380	ho_chi_minh_city_vn	Ho Chi Minh City	Southeast Asia Delta Route	Southeast Asia Delta Route sorted supply-cache vault	Monsoon Port	Ho Chi Minh City Rescue Arch	Monsoon Port with halved search vault around Ho Chi Minh City Rescue Arch, signature 380	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
381	luanda_ao	Luanda	African Urban Relay	African Urban Relay triage routing depot	African Urban Relay	Luanda Data Beacon	African Urban Relay with triage conveyor lanes around Luanda Data Beacon, signature 381	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
382	ahmedabad_in	Ahmedabad	Midwest Grid	Midwest Grid drone beacon yard	Monsoon Megacity	Ahmedabad Command Obelisk	Monsoon Megacity with timed beacon pylons around Ahmedabad Command Obelisk, signature 382	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
383	kuala_lumpur_my	Kuala Lumpur	Southeast Asia Delta Route	Southeast Asia Delta Route mirror-code archive	Monsoon Port	Kuala Lumpur Relay Bridge	Monsoon Port with mirrored plaza around Kuala Lumpur Relay Bridge, signature 383	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
384	xi_an_cn	Xi'an	East Asia Megacity Belt	East Asia Megacity Belt sorted supply-cache vault	Neon Megacity	Xi'an Power Crown	Neon Megacity with halved search vault around Xi'an Power Crown, signature 384	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
385	hong_kong_hk	Hong Kong	East Asia Megacity Belt	East Asia Megacity Belt evacuation chain depot	Neon Megacity	Hong Kong Signal Spire	Neon Megacity with linked evacuation posts around Hong Kong Signal Spire, signature 385	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
386	hangzhou_cn	Hangzhou	East Asia Megacity Belt	East Asia Megacity Belt sorted supply-cache vault	Neon Megacity	Hangzhou Rescue Arch	Neon Megacity with halved search vault around Hangzhou Rescue Arch, signature 386	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
387	foshan_cn	Foshan	East Asia Megacity Belt	East Asia Megacity Belt triage routing depot	Neon Megacity	Foshan Data Beacon	Neon Megacity with triage conveyor lanes around Foshan Data Beacon, signature 387	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
388	shenyang_cn	Shenyang	East Asia Megacity Belt	East Asia Megacity Belt drone beacon yard	Neon Megacity	Shenyang Command Obelisk	Neon Megacity with timed beacon pylons around Shenyang Command Obelisk, signature 388	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
389	riyadh_sa	Riyadh	Middle East Solar Route	Middle East Solar Route mirror-code archive	Middle East Solar Hub	Riyadh Relay Bridge	Middle East Solar Hub with mirrored plaza around Riyadh Relay Bridge, signature 389	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
390	baghdad_iq	Baghdad	Middle East Solar Route	Middle East Solar Route sorted supply-cache vault	Middle East Solar Hub	Baghdad Power Crown	Middle East Solar Hub with halved search vault around Baghdad Power Crown, signature 390	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
391	santiago_cl	Santiago	Latin America Metro Spine	Latin America Metro Spine evacuation chain depot	Latin Metro	Santiago Signal Spire	Latin Metro with linked evacuation posts around Santiago Signal Spire, signature 391	Evacuation chain 3: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
392	surat_in	Surat	Midwest Grid	Midwest Grid sorted supply-cache vault	Monsoon Megacity	Surat Rescue Arch	Monsoon Megacity with halved search vault around Surat Rescue Arch, signature 392	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
393	madrid_es	Madrid	European Historic Core	European Historic Core triage routing depot	Historic Core	Madrid Data Beacon	Historic Core with triage conveyor lanes around Madrid Data Beacon, signature 393	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
394	toronto_ca_on	Toronto	Canadian Shield Corridor	Canadian Shield Corridor drone beacon yard	Great Lakes Industrial	Toronto Command Obelisk	Great Lakes Industrial with timed beacon pylons around Toronto Command Obelisk, signature 394	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
395	belo_horizonte_br	Belo Horizonte	Latin America Metro Spine	Latin America Metro Spine mirror-code archive	Latin Metro	Belo Horizonte Relay Bridge	Latin Metro with mirrored plaza around Belo Horizonte Relay Bridge, signature 395	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
396	singapore_sg	Singapore	Southeast Asia Delta Route	Southeast Asia Delta Route sorted supply-cache vault	Neon Megacity	Singapore Power Crown	Neon Megacity with halved search vault around Singapore Power Crown, signature 396	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
397	barcelona_es	Barcelona	European Historic Core	European Historic Core evacuation chain depot	Historic Core	Barcelona Signal Spire	Historic Core with linked evacuation posts around Barcelona Signal Spire, signature 397	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
398	alexandria_eg	Alexandria	African Urban Relay	African Urban Relay sorted supply-cache vault	African Urban Relay	Alexandria Rescue Arch	African Urban Relay with halved search vault around Alexandria Rescue Arch, signature 398	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
399	casablanca_ma	Casablanca	Northeast Relay	Northeast Relay triage routing depot	African Urban Relay	Casablanca Data Beacon	African Urban Relay with triage conveyor lanes around Casablanca Data Beacon, signature 399	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
400	melbourne_au	Melbourne	Oceania Harbor Ring	Oceania Harbor Ring drone beacon yard	Oceania Harbor	Melbourne Command Obelisk	Oceania Harbor with timed beacon pylons around Melbourne Command Obelisk, signature 400	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
401	sydney_au	Sydney	Oceania Harbor Ring	Oceania Harbor Ring mirror-code archive	Oceania Harbor	Sydney Relay Bridge	Oceania Harbor with mirrored plaza around Sydney Relay Bridge, signature 401	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
402	berlin_de	Berlin	Southern Evac Line	Southern Evac Line sorted supply-cache vault	Historic Core	Berlin Power Crown	Historic Core with halved search vault around Berlin Power Crown, signature 402	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
403	rome_it	Rome	European Historic Core	European Historic Core evacuation chain depot	Historic Core	Rome Signal Spire	Historic Core with linked evacuation posts around Rome Signal Spire, signature 403	Evacuation chain 3: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
404	dubai_ae	Dubai	Middle East Solar Route	Middle East Solar Route sorted supply-cache vault	Middle East Solar Hub	Dubai Rescue Arch	Middle East Solar Hub with halved search vault around Dubai Rescue Arch, signature 404	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
405	abu_dhabi_ae	Abu Dhabi	Middle East Solar Route	Middle East Solar Route triage routing depot	Middle East Solar Hub	Abu Dhabi Data Beacon	Middle East Solar Hub with triage conveyor lanes around Abu Dhabi Data Beacon, signature 405	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
406	nairobi_ke	Nairobi	African Urban Relay	African Urban Relay drone beacon yard	African Urban Relay	Nairobi Command Obelisk	African Urban Relay with timed beacon pylons around Nairobi Command Obelisk, signature 406	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
407	johannesburg_za	Johannesburg	African Urban Relay	African Urban Relay mirror-code archive	African Urban Relay	Johannesburg Relay Bridge	African Urban Relay with mirrored plaza around Johannesburg Relay Bridge, signature 407	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
408	cape_town_za	Cape Town	African Urban Relay	African Urban Relay sorted supply-cache vault	African Urban Relay	Cape Town Power Crown	African Urban Relay with halved search vault around Cape Town Power Crown, signature 408	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
409	addis_ababa_et	Addis Ababa	African Urban Relay	African Urban Relay evacuation chain depot	African Urban Relay	Addis Ababa Signal Spire	African Urban Relay with linked evacuation posts around Addis Ababa Signal Spire, signature 409	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
410	dar_es_salaam_tz	Dar es Salaam	African Urban Relay	African Urban Relay sorted supply-cache vault	African Urban Relay	Dar es Salaam Rescue Arch	African Urban Relay with halved search vault around Dar es Salaam Rescue Arch, signature 410	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
411	accra_gh	Accra	African Urban Relay	African Urban Relay triage routing depot	African Urban Relay	Accra Data Beacon	African Urban Relay with triage conveyor lanes around Accra Data Beacon, signature 411	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
412	abidjan_ci	Abidjan	African Urban Relay	African Urban Relay drone beacon yard	African Urban Relay	Abidjan Command Obelisk	African Urban Relay with timed beacon pylons around Abidjan Command Obelisk, signature 412	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
413	algiers_dz	Algiers	African Urban Relay	African Urban Relay mirror-code archive	African Urban Relay	Algiers Relay Bridge	African Urban Relay with mirrored plaza around Algiers Relay Bridge, signature 413	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
414	tunis_tn	Tunis	Southern Evac Line	Southern Evac Line sorted supply-cache vault	African Urban Relay	Tunis Power Crown	African Urban Relay with halved search vault around Tunis Power Crown, signature 414	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
415	rabat_ma	Rabat	Northeast Relay	Northeast Relay evacuation chain depot	African Urban Relay	Rabat Signal Spire	African Urban Relay with linked evacuation posts around Rabat Signal Spire, signature 415	Evacuation chain 3: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
416	montreal_ca_qc	Montreal	Canadian Shield Corridor	Canadian Shield Corridor sorted supply-cache vault	Great Lakes Industrial	Montreal Rescue Arch	Great Lakes Industrial with halved search vault around Montreal Rescue Arch, signature 416	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
417	vancouver_ca_bc	Vancouver	Canadian Shield Corridor	Canadian Shield Corridor triage routing depot	Great Lakes Industrial	Vancouver Data Beacon	Great Lakes Industrial with triage conveyor lanes around Vancouver Data Beacon, signature 417	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
418	calgary_ca_ab	Calgary	Canadian Shield Corridor	Canadian Shield Corridor drone beacon yard	Great Lakes Industrial	Calgary Command Obelisk	Great Lakes Industrial with timed beacon pylons around Calgary Command Obelisk, signature 418	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
419	ottawa_ca_on	Ottawa	Canadian Shield Corridor	Canadian Shield Corridor mirror-code archive	Great Lakes Industrial	Ottawa Relay Bridge	Great Lakes Industrial with mirrored plaza around Ottawa Relay Bridge, signature 419	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
420	havana_cu	Havana	Latin America Metro Spine	Latin America Metro Spine sorted supply-cache vault	Latin Metro	Havana Power Crown	Latin Metro with halved search vault around Havana Power Crown, signature 420	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
421	santo_domingo_do	Santo Domingo	Latin America Metro Spine	Latin America Metro Spine evacuation chain depot	Latin Metro	Santo Domingo Signal Spire	Latin Metro with linked evacuation posts around Santo Domingo Signal Spire, signature 421	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
422	guatemala_city_gt	Guatemala City	Latin America Metro Spine	Latin America Metro Spine sorted supply-cache vault	Latin Metro	Guatemala City Rescue Arch	Latin Metro with halved search vault around Guatemala City Rescue Arch, signature 422	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
423	san_salvador_sv	San Salvador	Latin America Metro Spine	Latin America Metro Spine triage routing depot	Latin Metro	San Salvador Data Beacon	Latin Metro with triage conveyor lanes around San Salvador Data Beacon, signature 423	Triage sorter 3: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
424	panama_city_pa	Panama City	Northeast Relay	Northeast Relay drone beacon yard	Latin Metro	Panama City Command Obelisk	Latin Metro with timed beacon pylons around Panama City Command Obelisk, signature 424	Beacon cycle yard 4: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
425	quito_ec	Quito	Latin America Metro Spine	Latin America Metro Spine mirror-code archive	Latin Metro	Quito Relay Bridge	Latin Metro with mirrored plaza around Quito Relay Bridge, signature 425	Mirror-code walk 1: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
426	caracas_ve	Caracas	Latin America Metro Spine	Latin America Metro Spine sorted supply-cache vault	Latin Metro	Caracas Power Crown	Latin Metro with halved search vault around Caracas Power Crown, signature 426	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
427	medellin_co	Medellin	Western Corridor	Western Corridor evacuation chain depot	Latin Metro	Medellin Signal Spire	Latin Metro with linked evacuation posts around Medellin Signal Spire, signature 427	Evacuation chain 3: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
428	montevideo_uy	Montevideo	Latin America Metro Spine	Latin America Metro Spine sorted supply-cache vault	Latin Metro	Montevideo Rescue Arch	Latin Metro with halved search vault around Montevideo Rescue Arch, signature 428	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
429	la_paz_bo	La Paz	Latin America Metro Spine	Latin America Metro Spine triage routing depot	Latin Metro	La Paz Data Beacon	Latin Metro with triage conveyor lanes around La Paz Data Beacon, signature 429	Triage sorter 1: even-number lanes lead to rescue while odd lanes become decoys.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
430	asuncion_py	Asuncion	Latin America Metro Spine	Latin America Metro Spine drone beacon yard	Latin Metro	Asuncion Command Obelisk	Latin Metro with timed beacon pylons around Asuncion Command Obelisk, signature 430	Beacon cycle yard 2: numbered pylons emphasize checking 15 before 3 or 5.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
431	brasilia_br	Brasilia	Latin America Metro Spine	Latin America Metro Spine mirror-code archive	Latin Metro	Brasilia Relay Bridge	Latin Metro with mirrored plaza around Brasilia Relay Bridge, signature 431	Mirror-code walk 3: paired light posts teach left/right character comparisons.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
432	recife_br	Recife	Latin America Metro Spine	Latin America Metro Spine sorted supply-cache vault	Latin Metro	Recife Power Crown	Latin Metro with halved search vault around Recife Power Crown, signature 432	Sorted-cache vault 4: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
433	salvador_br	Salvador	Latin America Metro Spine	Latin America Metro Spine evacuation chain depot	Latin Metro	Salvador Signal Spire	Latin Metro with linked evacuation posts around Salvador Signal Spire, signature 433	Evacuation chain 1: node markers show current, next, and stop sentinel movement.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
434	fortaleza_br	Fortaleza	Latin America Metro Spine	Latin America Metro Spine sorted supply-cache vault	Latin Metro	Fortaleza Rescue Arch	Latin Metro with halved search vault around Fortaleza Rescue Arch, signature 434	Sorted-cache vault 2: shrinking light bands show low, mid, and high bounds.	landmark;art_kit;major_signature;landscape;street_life;objective_route;composition;character_court;safehouse;physics_yard;mission_diorama;account_assets;first_minute;bespoke_survival_horror;authored_asset_refinement;production_completion
